Real Imaginary
609.94257 312.55872
683.08411 358.41586
764.03595 410.24756
859.46082 471.57169
969.1366 545.05457
1085.327 639.88977
1223.5604 753.70697
1390.8323 905.66205
1596.7792 1095.2847
1870.3835 1313.7738
2216.1509 1554.0542
2677.8828 1803.769
3186.3176 1998.9432
3798.6345 2173.4963
4457.2451 2220.0828
5142.3765 2245.1882
5760.0435 2155.0283
6339.1543 1975.2806
6860.501 1802.8594
7306.6001 1582.5856
7653.1499 1386.7863
7960.4604 1153.1599
8237.3027 1013.3401
8442.9189 853.17523
8607.5137 728.22516
8718.1318 618.40863
8823.0898 506.63406
8896.5586 455.1586
9035.8838 379.35852
9129.8828 354.17545
