Real Imaginary
602.36481 305.51337
672.96552 347.26138
753.18939 400.70609
846.50861 460.04123
952.60852 530.32806
1068.7316 617.73822
1203.4806 731.82568
1363.8383 873.64105
1566.3239 1058.3813
1827.1874 1264.3077
2169.4036 1500.2847
2586.4919 1731.196
3112.2314 1953.4664
3701.9163 2069.3005
4319.8032 2144.481
4947.896 2116.8499
5566.6348 2039.4286
6105.2402 1892.8621
6600.4014 1690.562
6981.3784 1498.8153
7309.1172 1285.1254
7623.8677 1137.0446
7864.0659 933.8222
8025.9165 763.32849
8130.9639 697.68475
8311.7568 537.54681
8402.7412 484.32947
8562.7783 403.09235
8597.4717 387.70248
8692.6426 301.49448
