Real Imaginary
638.80859 341.21002
718.37134 392.60211
808.59259 455.09848
912.79181 520.21661
1028.2015 604.97321
1157.665 710.36511
1307.8093 840.87445
1494.2943 1017.6132
1729.0898 1236.6122
2028.2172 1495.4447
2417.4006 1788.2357
2903.7268 2069.9534
3536.4272 2322.5623
4230.6763 2541.3784
5014.4678 2656.7102
5790.7417 2667.2664
6552.7583 2600.6975
7267.6143 2439.7085
7914.3198 2190.8799
8466.5225 1994.3341
8911.457 1741.3258
9299.4824 1451.8234
9612.9121 1266.9227
9891.1289 1099.6794
10099.753 944.42261
10245.425 786.65533
10387.407 714.6225
10518.103 551.35547
10624.717 511.19669
10734.768 456.02283
