Real Imaginary
590.3678 290.45633
657.53113 335.58392
736.25995 382.80328
825.98846 439.64926
926.00232 507.90109
1036.7006 591.10089
1163.9491 695.85803
1320.2794 827.68262
1515.6581 993.99005
1762.4758 1190.7092
2087.4412 1414.2262
2485.5156 1611.3553
2961.3835 1794.6266
3518.2239 1915.2847
4080.8647 1960.6084
4688.3921 1929.1752
5213.3218 1824.9012
5700.2261 1684.4584
6119.7324 1505.4116
6508.8843 1354.4071
6790.9492 1142.0521
7044.2485 985.34399
7286.2456 828.39111
7430.2266 671.40692
7598.0293 593.58466
7648.3726 503.34988
7732.4751 438.17169
7842.001 403.93729
7927.1763 326.93655
8016.894 275.32343
