Real Imaginary
654.55194 358.00473
737.07715 408.79736
831.84448 474.76401
940.8045 549.45526
1061.579 638.57074
1198.0297 751.58521
1361.8446 894.03528
1551.8342 1080.4955
1801.95 1313.1661
2114.5029 1590.321
2529.7688 1898.292
3074.0195 2212.9734
3730.209 2491.2566
4472.8896 2720.7014
5284.8604 2872.4031
6144.623 2889.916
6972.2026 2789.8074
7753.6909 2668.832
8433.5654 2417.9888
9082.3281 2189.6523
9534.2471 1940.4624
10051.253 1596.3835
10290.919 1396.4078
10684.99 1188.8351
10824.495 1043.178
11043.984 876.18427
11206.542 757.55176
11395.56 602.53839
11402.479 570.09851
11607.12 488.72525
