Real Imaginary
562.01648 266.203
624.85132 306.78528
696.27448 351.47189
779.86365 402.21722
870.94427 459.22162
975.18915 534.62976
1093.1415 625.14209
1233.2805 738.66956
1412.3618 879.7597
1638.3158 1041.1503
1926.851 1212.1614
2278.6716 1370.7426
2681.1748 1506.282
3145.8833 1573.8937
3610.6753 1569.4601
4065.7004 1536.4012
4489.1187 1430.4751
4881.9004 1311.3572
5198.1021 1159.6086
5465.1201 1014.8124
5710.0122 879.3996
5876.6104 718.6947
6025.7178 619.04871
6140.0679 526.89471
6201.8564 419.23651
6316.957 372.01324
6391.874 315.8049
6450.0864 305.1105
6519.229 249.09917
6567.7261 260.52502
