Real Imaginary
648.745 349.63116
729.34882 404.54831
823.99078 466.63455
928.26349 536.42639
1052.8101 627.06116
1183.7568 735.30603
1337.4265 872.26105
1525.4092 1056.8035
1773.4152 1283.23
2086.6033 1547.7539
2489.9131 1844.3392
3005.8518 2160.0869
3643.0212 2437.1821
4391.5703 2649.822
5187.5962 2799.551
6016.8198 2802.8391
6806.9731 2713.5662
7589.8745 2565.6064
8247.4307 2343.4927
8857.3281 2086.1553
9323.9863 1824.7969
9758.3926 1604.431
10049.517 1305.0116
10315.119 1133.7466
10571.15 1008.6456
10728.892 804.31555
10906.643 682.06427
11068.243 646.54773
11129.382 548.63623
11259.869 481.43332
