Real Imaginary
12.028837336988127 26.830145164750995
14.150506959576695 32.066598499385094
16.738861935878063 38.32927654539551
19.917559657873948 45.80980342643534
23.849393271287298 54.72784336956282
28.749624343059054 65.32983915762198
34.90317472591429 77.88331270830305
42.68574054332875 92.66360849856248
52.587568995060465 109.92856333022743
65.23586160069237 129.87523730946472
81.40675913180165 152.57257259108835
102.01026982002962 177.86693980868597
128.02291744592304 205.26781404716166
160.33958490098513 233.84227514131965
199.5311164433783 262.17818674973853
245.5426923877509 288.4994618227611
297.44577653740885 310.99459054328304
353.41210327108456 328.3181194295142
411.02591076757227 340.078136152504
467.86737480164624 347.05795589290767
522.1134122990902 351.042671212629
572.8897242629337 354.35576999031036
620.2827927603884 359.35362018367897
665.1132052217461 368.07865221313386
708.6398382905264 382.1270248746367
752.3165834915246 402.67638203870035
797.6443922886638 430.5891494938919
846.1088117833909 466.5272938518347
899.174944872501 511.04582235633154
958.3136543828145 564.6548476455948
1025.0410251682595 627.8511168148132
1100.9605807928924 701.1232830559592
1187.8025130905557 784.9348847651107
1287.4564085280003 879.6875122229415
1401.9943700281158 985.6652392628708
1533.6806867806658 1102.9606388581822
1684.9627794661003 1231.3828792650104
1858.4364546928282 1370.349744295679
2056.7770206539954 1518.7681631055311
2282.6272238608276 1674.9121188104332
2538.434207902115 1836.3125190668052
2826.2319183593854 1999.6801085277655
3147.3736517215475 2160.888298777838
3502.2321689968126 2315.0454025144572
3889.9008463486853 2456.681963016305
4307.945276890625 2580.065692489538
4752.264705649032 2679.633020714332
5217.1197332957945 2750.4954949045086
5695.361922624711 2788.949347715231
6178.863154704472 2792.898915789033
6659.0966658279 2762.1093939546236
7127.782581159629 2698.2346240040197
7577.493182023494 2604.6137152223246
8002.1241688021955 2485.8804977709547
8397.173347342548 2347.465332901301
8759.813936493678 2195.079730788142
9088.790497308051 2034.2611665593618
9384.1906680438 1870.0273893226724
9647.15276612644 1706.65804824302
9879.561781150824 1547.595765580294
10083.771129872823 1395.4431288705896
10262.371080592708 1252.026290771615
10418.011023709048 1118.4972798297808
10553.273374442513 995.4524610444583
10670.591718098458 883.0511482149009
10772.203870940792 781.1244624013423
10860.13066815964 689.269361808094
10936.172517067263 606.9261703626257
11001.917376849164 533.4400730906802
11058.755433861008 468.10822024879565
11107.897131314588 410.2145878889253
11150.392316508887 359.05482842969974
11187.149094304157 313.95319416466583
11218.951562981116 274.2733532027454
11246.476008491332 239.42461821155283
11270.305393343267 208.86481744511693
11290.942137196755 182.10077691292776
11308.81927895666 158.68716071784868
11324.310157890959 138.22423436611234
11337.736770464833 120.35497005734364
11349.376961447753 104.76179871276933
11359.47059990654 91.16322550919479
11368.224877773906 79.3104589517885
11375.818853778608 68.98415363255525
11382.407350422844 59.99133006952611
11388.124297383669 52.162508367966424
11393.085601688515 45.349073461102755
11397.391613455544 39.42087646429612
11401.12924590563 34.264067731170684
11404.373799656882 29.779151395535255
