Real Imaginary
579.3949 283.43027
645.5965 323.27972
721.78308 370.94559
810.70184 425.71204
908.57965 491.48898
1013.8657 569.2254
1139.7578 671.24225
1285.8549 798.16455
1476.7754 959.52527
1718.8718 1144.9766
2032.2378 1339.5144
2427.9126 1531.7616
2868.9771 1686.2833
3392.2947 1796.2434
3901.3577 1818.0817
4457.5083 1787.5211
4945.6938 1700.7242
5402.1299 1576.5452
5809.4453 1400.5464
6127.5244 1210.041
6420.915 1033.2511
6618.4438 868.09424
6809.6519 753.1272
6938.897 624.56287
7058.4482 551.94519
7173.1514 473.09451
7254.8862 421.15021
7365.9316 338.47528
7419.4604 298.14456
7461.7627 274.51907
