Real Imaginary
631.58185 332.91019
708.79639 381.85495
797.52618 437.12207
897.38898 507.00867
1010.2154 587.42242
1136.0925 687.61023
1283.9159 816.27429
1460.4004 981.91742
1691.3954 1191.5309
1976.027 1437.9778
2359.2495 1715.9845
2858.1628 1997.9269
3424.355 2251.3032
4111.2925 2441.5591
4840.0337 2520.4258
5588.4209 2540.6746
6337.2676 2448.9961
6992.0317 2279.9702
7632.6675 2132.0715
8105.6919 1830.0829
8551.5059 1620.7383
8876.7891 1417.8544
9192.8115 1210.661
9449.9834 1007.4681
9681.1855 823.62201
9854.0166 686.73724
9941.2139 595.50305
10012.279 526.32886
10158.399 468.08438
10252.719 450.0918
