Real Imaginary
16.009290364748733 32.31368957122331
18.980799032557567 38.25111358255789
22.59156210716844 45.241559398567695
26.996202572248272 53.448327034425674
32.39014391654245 63.04723741550671
39.019665836099115 74.22009569218288
47.19295341568345 87.14307638565023
57.29073949945854 101.96793290226384
69.77367127990414 118.79379022293432
85.18135158481037 137.62790434265224
104.11530675153189 158.33599135944496
127.19587059970337 180.58758892570881
154.98341753752268 203.81004753245855
187.86119389499007 227.1748709506125
225.89357379228136 249.6469296230729
268.6983991676358 270.1207502492639
315.393065832766 287.63961460532397
364.66966928556315 301.6467141225465
415.01034437816224 312.17952697845726
464.98574885770375 319.92440335436663
513.533181867683 326.10725465212636
560.1230659821476 332.2719351688168
604.7834033736726 340.0382142171919
648.0150427727708 350.91669070225043
690.6592257037885 366.2122491427801
733.7708001897478 387.0061414829924
778.5257866045205 414.18728169876067
826.1695482844709 448.5032440593407
877.9991649492865 490.61028368698544
935.3696025115328 541.1111682875869
999.7140171681306 600.5761997179744
1072.5707922989131 669.5462248096272
1155.6119316687364 748.5176436988147
1250.6685759719248 837.9094877932
1359.7495944031052 938.0123671423171
1485.0485736541618 1048.9190352816922
1628.9333128628914 1170.4369016805254
1793.9104460481578 1301.9843921952483
1982.5565148304418 1442.4759280554138
2197.4064006506296 1590.2046571967942
2440.7914743808533 1742.737822405462
2714.624308818415 1896.846106975248
3020.1353889665365 2048.4939020052575
3357.5802688371978 2192.919613012953
3725.9517636910496 2324.830588666764
4122.747328342453 2438.723115014269
4543.850643453225 2529.3135354086994
4983.581656039972 2592.0355722866525
5434.946400430646 2623.5300288889416
5890.078669358646 2622.0379270416374
6340.819946517744 2587.6164034987564
6779.347420895577 2522.1299829380246
7198.7465490127015 2429.019098507946
7593.439982626941 2312.896335008097
7959.4224602844015 2179.052534376331
8294.296935845587 2032.9612996279789
8597.14552425607 1879.8539323248376
8868.290410482994 1724.407412426091
9109.003441731036 1570.5572922053718
9321.213515177562 1421.4236796179975
9507.24507105719 1279.3251155472824
9669.604971190018 1145.851231650461
9810.822301973303 1021.9676366974994
9933.337339154044 908.1322723187226
10039.43164855641 804.4090069732869
10131.18999190131 710.5700259329899
10210.48520736027 626.1830121281744
10278.978615598118 550.6821400674788
10338.130144677054 483.42374218909026
10389.213920406833 423.72846082183764
10433.336373310947 370.91206014479013
10471.45492784386 324.3070732309857
10504.396084216376 283.27726563618455
10532.872224232091 247.2266182458738
10557.496821110975 215.60423429277876
10578.797955708487 187.90629483127597
10597.230175573774 163.67594052639217
10613.18480769432 142.50175087881095
10626.998871445838 124.01532408603
10638.962749818758 107.88832763955112
10649.326774313813 93.82928630590047
10658.306868468166 81.58029505968393
10666.089380897143 70.91378499084394
10672.835223515605 61.62942601705614
10678.683415681166 53.55121792406644
10683.754121145692 46.52479802425755
10688.151252259342 40.41497734109936
10691.964704939703 35.10350595682248
10695.272278453212 30.48706066291986
10698.141325940871 26.47544330585074
