Real Imaginary
614.43182 316.03421
685.20514 362.88907
773.26337 415.24854
868.48438 478.5441
974.82544 554.34857
1093.6975 645.39142
1233.119 763.53131
1402.4613 920.77423
1612.8618 1112.641
1886.0786 1333.697
2239.0078 1585.1207
2698.4492 1839.418
3235.9524 2055.2263
3857.3252 2210.3796
4515.8623 2306.8525
5203.23 2278.8528
5840.6392 2191.4919
6449.1724 2056.1584
7044.3755 1850.9215
7443.4453 1630.4712
7848.3062 1422.5759
8126.3804 1208.7728
8412.6221 984.32977
8606.4424 851.61926
8786.6348 730.48041
8914.1924 620.35815
9052.4043 571.39838
9119.7256 415.2067
9222.0605 407.60645
9297.8174 361.42435
