Real Imaginary
660.67017 365.40497
744.3584 420.02582
842.77063 481.40408
950.41272 558.17621
1073.0969 650.83209
1214.5173 766.21045
1377.8486 917.56268
1573.6819 1098.7743
1831.6371 1336.9644
2154.377 1622.2141
2567.0447 1945.942
3109.7195 2240.8323
3787.4209 2555.5313
4561.3018 2803.7813
5385.0796 2921.6104
6279.418 2970.6814
7118.2827 2891.073
7934.043 2702.9011
8671.9775 2518.4502
9277.1035 2288.9001
9806.8311 1994.792
10227.097 1741.423
10639.147 1395.6903
10939.232 1198.405
11147.525 1017.4747
11374.062 841.01672
11532.168 754.41357
11690.558 689.27576
11818.163 584.71368
11950.369 527.98694
