Real Imaginary
606.46625 310.62204
679.27301 354.5864
762.57178 405.16473
852.38251 467.09778
959.98102 538.80878
1079.8048 628.67737
1215.6115 743.73627
1378.2202 891.20563
1582.3573 1075.0845
1845.4701 1291.5894
2194.8655 1537.4476
2627.5994 1762.3108
3155.885 1971.2673
3760.688 2124.9668
4411.2979 2201.9336
5060.8447 2165.0151
5667.688 2105.4033
6229.4937 1964.3928
6710.4429 1739.4672
7176.0571 1549.5906
7502.7813 1365.2117
7810.9302 1163.0087
8045.5562 908.67004
8225.7715 821.07184
8378.3232 731.57056
8541.5967 561.67181
8636.9482 543.98578
8738.0654 440.83514
8875.1074 385.17847
8892.6025 321.67029
