Real Imaginary
574.25977 278.06009
639.81311 319.0567
713.79028 363.9223
799.51019 417.54926
894.90448 478.37991
1001.0553 557.90826
1122.9285 654.02087
1267.4747 779.01312
1455.1152 930.04816
1694.2513 1109.254
1993.3099 1295.4147
2371.468 1486.7219
2811.4468 1632.9415
3298.4814 1719.6481
3820.1477 1748.786
4311.7334 1711.3102
4787.8726 1608.3394
5247.126 1480.3245
5599.8452 1326.6328
5931.7686 1143.5798
6176.9541 972.09033
6400.5557 845.86438
6562.8691 710.16302
6685.0898 612.3067
6785.7266 500.11929
6894.1055 454.26169
6992.5591 398.21262
7053.7954 318.35168
7138.4521 313.6207
7195.0122 261.63174
