Real Imaginary
595.01813 297.11053
664.4408 340.58621
741.89545 389.83337
833.48816 447.47455
934.45288 515.2041
1048.0747 598.15973
1177.3741 707.96985
1336.8778 847.47211
1533.9026 1021.0241
1792.1918 1221.8528
2117.22 1444.8511
2531.5867 1661.3198
3033.053 1847.8802
3579.03 1974.5104
4168.9844 2025.4655
4752.7412 1987.8766
5335.0078 1888.2076
5862.2612 1776.8932
6278.6533 1580.7415
6672.2725 1410.4459
7003.5 1192.5216
7236.0415 1043.2142
7441.6123 868.35693
7643.3311 735.69025
7777.7144 634.05347
7879.4673 532.41138
8015.3755 480.41107
8063.1758 384.54895
8212.6709 353.70291
8243.1582 284.69473
