Real Imaginary
654.12994 359.5892
739.8905 414.01001
839.67273 479.11996
944.54077 555.78009
1068.0138 645.92987
1207.3878 756.61499
1368.5238 906.22119
1562.3073 1091.7057
1816.522 1327.0048
2137.3276 1611.2661
2550.1003 1913.8169
3098.1106 2254.5679
3743.4509 2515.7427
4513.2456 2754.2288
5325.3623 2884.6753
6213.9199 2902.0193
7059.9922 2835.0525
7876.3882 2689.2065
8479.8379 2468.3479
9193.9814 2240.5955
9672.5107 1927.7145
10115.918 1651.2515
10574.258 1466.4784
10788.279 1217.9727
11083.738 1002.5485
11202.061 787.03223
11392.987 740.89441
11518.577 631.43518
11637.579 577.23865
11768.672 480.92862
