Real Imaginary
646.05328 347.96179
727.1532 401.29694
819.85187 461.74597
926.42725 532.64551
1041.5283 622.75702
1175.4019 728.32233
1329.7969 868.73956
1514.35 1038.1449
1757.1869 1267.4478
2067.6384 1532.8163
2471.6592 1829.1581
2983.436 2145.5464
3603.0845 2399.3838
4324.8267 2624.3657
5129.0698 2712.9436
5940.6797 2754.8677
6774.2866 2652.7971
7455.3193 2516.1504
8144.8955 2338.8662
8714.4277 2026.0382
9237.0342 1779.7095
9581.3584 1539.8528
9928.0195 1295.551
10250.092 1072.6154
10417.362 954.67072
10558.227 828.53088
10757.85 674.04456
10888.572 553.95374
10996.95 476.36328
11102.173 449.95621
