Real Imaginary
19.163593295482094 35.56767194864928
22.65997994921239 41.84216705340353
26.878568820426178 49.16608172126254
31.98205414761452 57.68615109512946
38.17148850263146 67.55556345509798
45.69399405646071 78.92651896236981
54.85040414699174 91.93832960618494
66.00131126609861 106.69967749045806
79.56886133970659 123.26385791488659
96.03016203465945 141.59674468606275
115.8966781115312 161.53933067903944
139.67330186372746 182.77048471074383
167.79244262304655 204.78097466326787
200.52444768349932 226.87541297235157
237.8770881278184 248.220971198769
279.5115647112784 267.9551545471535
324.7129090539004 285.34597293400856
372.44757655874173 299.9704374499712
421.51420977842383 311.85608476269044
470.7539713801212 321.53321410240073
519.2578674259336 329.97781828866084
566.5104124604152 338.46975362150613
612.4404271002637 348.42018068734086
657.3889440730563 361.2219379165017
702.0287449669949 378.1535766203528
747.2729322410288 400.3406709999616
794.198511257366 428.7602925915702
843.9963076359401 464.2690300081613
897.947640705183 507.6375288885938
957.4226432157202 559.579977541153
1023.8935940751251 620.7719201465532
1098.9571114557057 691.853034233544
1184.3600328329103 773.4131408132857
1282.0244651382854 865.9602807906867
1394.067495118036 969.8697971710822
1522.8103583210197 1085.3135360833885
1670.7705837060757 1212.1689778019818
1840.6290071017802 1349.909757510306
2035.1620201249839 1497.4820300689948
2257.1287083897914 1653.1757600849003
2509.103686051366 1814.506266285153
2793.2507786935867 1978.1286026645075
3111.0415349718855 2139.814043083677
3462.93645187133 2294.521293904086
3848.0646764500625 2436.591400602497
4263.956017039871 2560.0811179496663
4706.390688980231 2659.2234982558457
5169.429288626879 2728.970003487598
5645.66223035253 2765.534831333044
6126.675286495415 2766.842622250847
6603.676324027912 2732.78695929392
7068.185236045811 2665.2421842781655
7512.671243096644 2567.825759630414
7931.036593708767 2445.46408130053
8318.88703536536 2303.8521922347636
8673.580974200479 2148.906860105854
8994.09326112313 1986.2949745412957
9280.754794739143 1821.086342259598
9534.93379221665 1657.5451115489216
9758.714001436596 1499.0470251932368
9954.607329019105 1348.0944076742824
10125.320236608793 1206.3963005660632
10273.578877522676 1074.984061968236
10402.008627830352 954.3393100712078
10513.058936362557 844.5184585765677
10608.963027211394 745.2645900785416
10691.722614333563 656.1023609519206
10763.109379647787 576.4149786094196
10824.676827352061 505.5043002795053
10877.77786924483 442.6361259064479
10923.584946808049 387.0731271563661
10963.110615324536 338.0978309700303
10997.227330731446 295.0278446550564
11026.685745709494 257.22519036306846
11052.13119650134 224.101281712301
11074.11829855831 195.11876291806396
11093.12370955573 169.79115863603758
11109.557194473033 147.68105588900033
11123.771162263374 128.3973562511566
11136.068853057857 111.59199201154337
11146.711349535493 96.95638831345444
11155.923572969752 84.21786827127984
11163.899407877196 73.13613437111462
11170.806081748175 63.499912423999156
11176.787909508466 55.12381013250092
11181.96949689995 47.84541787628942
11186.458483196635 41.522662195039544
11190.347891648562 36.031410763491884
11193.718145690505 31.2633199679506
11196.638800112398 27.123911407755653
