Real Imaginary
626.60034 329.81332
702.41357 378.48276
789.35736 435.2814
893.0351 500.89883
1002.763 580.40509
1127.9299 681.30042
1275.833 809.25775
1454.5269 967.74786
1674.8495 1178.6917
1963.4836 1419.2085
2325.739 1695.2404
2832.9658 1961.6051
3406.9756 2209.9973
4046.8655 2393.8145
4779.7109 2495.53
5538.6064 2511.7461
6240.0117 2407.9573
6891.5557 2230.5745
7470.7749 2049.5049
7970.3672 1853.7446
8463.1719 1552.9712
8786.0 1363.4673
9060.4658 1114.1964
9289.2236 996.44482
9457.0137 766.05652
9653.8477 685.41724
9811.7129 600.56506
9874.9082 541.11438
10015.286 466.7738
10072.303 403.7085
