Real Imaginary
624.91888 327.46329
698.93121 373.41019
790.33215 431.40567
885.22406 495.63559
997.03131 574.77246
1119.1445 671.62848
1261.2207 800.34888
1432.7703 957.69171
1656.9495 1165.3325
1946.0513 1398.1321
2308.647 1667.1647
2779.3279 1948.0697
3351.7234 2177.2554
3995.8955 2336.1526
4686.5142 2447.821
5417.7622 2443.5508
6151.7153 2334.9661
6801.5679 2208.4175
7359.9761 2017.3417
7852.4688 1762.4182
8259.332 1520.2906
8578.8408 1308.9525
8904.2529 1126.6718
9122.4063 922.38916
9267.9648 788.34845
9442.3828 678.70923
9584.2568 609.97095
9671.8555 435.18298
9807.5645 425.92703
9924.9209 390.20969
