Real Imaginary
636.40991 338.53946
714.9856 388.34164
805.35895 445.67282
907.94934 517.34839
1020.0251 597.93744
1150.8632 704.03845
1307.1082 841.88306
1484.1425 1005.2781
1712.8425 1215.4897
2019.0751 1474.2568
2396.7175 1759.511
2887.6611 2044.9591
3501.7454 2310.9204
4206.3438 2518.7498
4939.8213 2609.9448
5713.6108 2639.0222
6490.5293 2566.3206
7167.7593 2375.1677
7810.6309 2150.6489
8337.3955 1899.2502
8821.5977 1704.8763
9174.1553 1410.683
9521.0947 1248.2518
9712.833 1016.1351
10008.463 917.95081
10117.183 761.29108
10268.229 628.87311
10396.344 560.74396
10516.297 504.93579
10589.591 415.54764
