Real Imaginary
599.54138 299.83411
668.6676 342.51648
751.33325 395.3273
840.73047 453.49237
941.86133 524.1687
1058.2908 608.49292
1189.6107 721.6225
1346.1575 861.14252
1545.4094 1038.0825
1806.2274 1249.7744
2135.3647 1469.1176
2565.6912 1695.1234
3079.4109 1902.1333
3629.2625 2017.5034
4250.9287 2081.0232
4842.8691 2049.7334
5470.5757 1973.313
5967.3838 1807.2147
6452.1743 1641.6946
6841.3589 1412.0906
7176.8306 1234.5216
7427.4248 1047.0123
7694.6279 933.42743
7822.4224 743.4035
7996.125 615.10004
8093.2524 530.03601
8224.5811 461.76962
8319.2207 405.31931
8379.3779 393.4537
8424.9756 316.88672
