Real Imaginary
621.68201 323.09045
695.37555 371.24326
784.99994 424.01685
879.04858 489.7951
991.18329 566.39703
1111.069 663.12616
1254.4191 788.13141
1432.7164 944.50745
1642.9431 1144.855
1926.2949 1379.0052
2283.8938 1631.5817
2751.1638 1884.0771
3310.2424 2145.7688
3968.0112 2301.5691
4648.23 2394.3596
5375.7422 2402.8206
6041.6724 2297.1602
6645.3315 2149.0691
7256.7285 1957.2736
7745.5967 1778.5728
8124.7036 1489.4354
8453.1738 1319.6084
8746.4941 1087.082
8908.8486 894.74091
9171.8115 778.84406
9274.6494 671.00659
9424.2275 574.76013
9525.1689 470.60269
9611.3242 435.78918
9683.4805 375.47061
