Real Imaginary
644.36584 346.01877
721.83752 395.65695
815.59888 455.8869
916.93048 529.16626
1035.5604 613.90692
1169.6204 720.56573
1324.2107 855.51062
1513.6771 1027.4739
1739.1602 1248.4088
2043.1158 1514.0789
2441.2192 1808.4963
2948.1663 2120.9001
3571.3384 2372.814
4282.3623 2595.7842
5055.0049 2704.9097
5839.3716 2707.0161
6648.0879 2635.5342
7375.709 2489.55
8051.084 2241.1592
8555.2119 2032.0607
9038.5068 1789.6843
9424.8457 1462.3704
9791.5996 1213.0127
10097.645 1062.7073
10300.679 943.72931
10450.188 805.492
10602.883 664.35614
10695.845 547.8609
10812.517 526.25482
10936.882 450.84241
