Real Imaginary
650.61487 355.06223
734.97943 408.13879
825.6308 470.28821
935.97839 545.26593
1057.1986 630.23016
1192.2482 742.17999
1351.2163 885.6405
1551.8738 1072.5157
1791.7781 1300.8043
2113.2178 1567.7917
2506.6975 1871.5131
3012.5173 2187.4817
3682.6069 2450.0303
4418.5205 2689.158
5219.8525 2833.0925
6086.6514 2861.5415
6884.9629 2755.4373
7632.7729 2622.6736
8348.041 2393.6069
8995.7109 2121.7583
9504.9365 1820.0884
9838.7148 1586.4292
10175.255 1385.7848
10543.764 1167.892
10774.574 957.54126
10967.629 787.66821
11118.9 718.33716
11207.236 656.40509
11313.257 550.01349
11479.206 488.02478
