Real Imaginary
586.07642 287.42154
652.2561 331.98621
730.59888 377.77844
817.78833 433.34058
917.47601 497.55283
1025.085 580.6778
1153.7216 681.52509
1301.2924 818.75647
1493.1654 978.3399
1742.2813 1165.7666
2057.5303 1368.4208
2454.2131 1568.2676
2919.4626 1740.1271
3445.5935 1866.7402
4014.8733 1897.8671
4585.3481 1856.3031
5113.8623 1774.9785
5540.9165 1616.1118
5971.7612 1450.3998
6348.5254 1280.8718
6602.3193 1090.0547
6838.8638 945.3208
7063.1045 761.56848
7200.2202 649.46069
7300.4004 555.15729
7441.583 485.10095
7515.0313 424.59726
7612.5693 380.61398
7676.5522 331.90475
7757.3857 279.64786
