Real Imaginary
619.55621 319.28836
692.0036 367.49057
776.90228 419.9317
872.76959 483.91968
983.42188 558.24915
1105.1305 655.83765
1242.8242 778.758
1419.5782 929.73755
1630.8838 1125.5007
1900.4604 1360.1116
2272.1382 1619.595
2726.1079 1879.3948
3275.1343 2102.4292
3896.6934 2269.77
4604.3369 2365.5979
5304.0908 2368.9087
5970.8472 2249.2825
6559.3911 2091.334
7110.5605 1896.3982
7606.4492 1687.8342
7966.8286 1466.3341
8281.9326 1227.2452
8577.0439 1077.0594
8752.9746 894.55042
8937.1543 796.58411
9094.6523 664.27411
9192.2402 543.08557
9343.2822 469.42703
9422.3633 409.57935
9549.8828 381.46298
